,title,media,date,datetime,desc,link,img
0,Beijing races to contain 'urgent and grim' Covid outbreak as Shanghai lockdown continues,CNN,2 weeks ago,2022-04-28 17:50:32.190796,"Hong Kong (CNN) Beijing is racing to track a Covid-19 outbreak that may 
have been spreading in the capital for a week, city authorities said over 
the...",https://www.cnn.com/2022/04/24/china/beijing-covid-outbreak-lockdown-fears-intl-hnk/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,Beijing kicks off mass testing after spike in Covid cases,BBC,2 weeks ago,2022-04-28 17:50:32.200562,"The Chinese capital Beijing has kicked off mass testing for millions of 
residents after a spike in Covid cases. The Chaoyang district reported 26 
cases over...",https://www.bbc.com/news/world-asia-china-61212757,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,China’s Covid Lockdowns Stir Memories of a Planned Economy,The New York Times,2 weeks ago,2022-04-28 17:50:32.209378,"Covid Lockdowns Revive the Ghosts of a Planned Economy. China is meddling 
with free enterprise as it hadn't in decades. The results are familiar to 
those old...",https://www.nytimes.com/2022/04/25/business/china-covid-zero-economy.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,Coronavirus (COVID-19) Update: FDA Takes Key Action by ...,US Food and Drug Administration,"an 31, 2022",,"The vaccine has been known as the Moderna COVID-19 Vaccine; the approved 
vaccine will be marketed as Spikevax for the prevention of COVID-19 in 
individuals 18...",https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-fda-takes-key-action-approving-second-covid-19-vaccine,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,"Fact Sheet: Biden Administration Launches COVID.gov, a ...",The White House,1 month ago,2022-04-12 17:50:32.227215,"Website will Feature a New Test-to-Treat Locator Tool to Help People Access 
the Over 2,000 Locations that Offer COVID-19 Tests and Antiviral Pills at 
One...",https://www.whitehouse.gov/briefing-room/statements-releases/2022/03/30/fact-sheet-biden-administration-launches-covid-gov-a-new-one-stop-shop-website-for-vaccines-tests-treatments-masks-and-the-latest-covid-19-information/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,U.S. reports over 1 million new daily Covid cases as omicron surges,CNBC,"an 4, 2022",,"The U.S. has reported a record single-day number of daily Covid cases, with 
more than 1 million new infections. A total of 1,082,549 new coronavirus 
cases...",https://www.cnbc.com/2022/01/04/us-counts-over-1-million-new-daily-covid-cases-in-global-record-.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,Fact Sheet: The Biden Administration to Begin Distributing At ...,The White House,"an 14, 2022",,"Testing is an important tool to help mitigate the spread of COVID-19. ... 
one billion at-home, rapid COVID-19 tests to give to Americans for free.",https://www.whitehouse.gov/briefing-room/statements-releases/2022/01/14/fact-sheet-the-biden-administration-to-begin-distributing-at-home-rapid-covid-19-tests-to-americans-for-free/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,Supply Chain Woes Could Worsen as China Imposes Covid Lockdowns,The New York Times,"an 16, 2022",,"Supply Chain Woes Could Worsen as China Imposes New Covid Lockdowns. 
American manufacturers are worried that China's zero-tolerance coronavirus 
policy could...",https://www.nytimes.com/2022/01/16/business/economy/china-supply-chain-covid-lockdowns.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,"Beijing shuts Universal Studios, bans restaurant dining in major escalation of Covid restrictions",CNN,1 week ago,2022-05-05 17:50:32.241202,"But there is little holiday spirit this year, as the Chinese government 
doubles down on its zero-Covid policy to fight the country's worst outbreak 
since Wuhan.",https://www.cnn.com/2022/05/01/china/beijing-covid-labor-day-holiday-intl-hnk/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,Coronavirus (COVID-19) Update: FDA to Hold Advisory ...,US Food and Drug Administration,1 month ago,2022-04-12 17:50:32.251704,"“Now is the time to discuss the need for future boosters as we aim to move 
forward safely, with COVID-19 becoming a virus like others such as 
influenza that we...",https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-fda-hold-advisory-committee-meeting-covid-19-vaccines-discuss-future,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
